KIDS_TILE,KIDS_ID,RAJ2000,DECJ2000,MAG_AUTO,paper
KIDS_190.5_3.5,KIDS J124100.73+031802.65,190.253025037,3.30073645548,19.6761,Li+2021
KIDS_219.6_3.5,KIDS J143821.47+034020.20,219.589463912,3.67227805945,18.5578,Li+2021
KIDS_12.2_-35.1,KIDS J004919.61-352730.58,12.3317202148,-35.4584954709,19.8968,Li+2021
KIDS_349.9_-27.2,KIDS J231852.22-273759.16,349.717568736,-27.6331004521,18.9433,Li+2021
KIDS_223.6_3.5,KIDS J145605.71+033707.02,224.023803907,3.61861732362,18.9394,Li+2021
KIDS_10.9_-35.1,KIDS J004419.36-350407.80,11.0806595367,-35.0688329292,19.5136,Li+2021
KIDS_346.5_-27.2,KIDS J230502.92-264517.15,346.262152133,-26.7547642831,18.7199,Li+2021
KIDS_182.5_3.5,KIDS J120813.61+035444.17,182.056700019,3.91227006317,18.301,Li+2021
KIDS_12.2_-35.1,KIDS J004838.52-351355.91,12.160502828,-35.2321971358,20.5841,Li+2021
KIDS_186.5_3.5,KIDS J122455.77+031337.92,186.23237885,3.22719888119,18.2486,Li+2021
KIDS_187.5_3.5,KIDS J123129.73+034716.39,187.873874712,3.78788637071,20.1557,Li+2021
KIDS_203.6_-3.5,KIDS J133221.82-031517.42,203.09089604,-3.25483802116,16.5788,Li+2021
KIDS_26.8_-31.2,KIDS J014538.40-305936.15,26.4099942737,-30.9933759974,20.1657,Li+2021
KIDS_158.4_3.5,KIDS J103244.87+035608.11,158.186955376,3.93558556963,18.5431,Li+2021
KIDS_201.6_3.5,KIDS J132731.02+033655.73,201.879266527,3.61547986847,18.8195,Li+2021
KIDS_187.5_3.5,KIDS J122917.55+031330.57,187.323115373,3.22515695289,19.0799,Li+2021
KIDS_180.5_-3.5,KIDS J120355.23-033218.89,180.980132708,-3.53858006036,19.8452,Li+2021
KIDS_28.2_-32.1,KIDS J015148.40-323715.86,27.9516732581,-32.6210731733,17.9265,Li+2021
KIDS_194.5_-2.5,KIDS J125632.39-021600.64,194.134978514,-2.26684321741,19.0053,Li+2021
KIDS_23.5_-32.1,KIDS J013336.28-321114.42,23.4011654214,-32.1873391177,19.8008,Li+2021
KIDS_205.6_-3.5,KIDS J134223.83-035645.69,205.599293116,-3.94602603052,18.5063,Li+2021
KIDS_25.8_-27.2,KIDS J014320.63-271746.99,25.835963638,-27.2963859259,17.6511,Li+2021
KIDS_39.6_-34.1,KIDS J024000.80-341812.44,40.0033483078,-34.303455053,17.6939,Li+2021
KIDS_168.5_-3.5,KIDS J111401.10-033323.54,168.504570458,-3.55653984374,19.0885,Li+2021
KIDS_335.3_-27.2,KIDS J222201.35-273614.23,335.50564576,-27.6039538941,18.7133,Li+2021
KIDS_37.7_-35.1,KIDS J023206.32-352923.41,38.026346576,-35.4898371479,20.0357,Li+2021
KIDS_2.2_-27.2,KIDS J000651.87-271357.05,1.71610671204,-27.2325131331,19.591,Li+2021
KIDS_49.0_-29.2,KIDS J031418.60-284156.45,48.5775065598,-28.6990142975,20.0205,Li+2021
KIDS_7.3_-35.1,KIDS J003118.07-350132.27,7.82530988048,-35.0256305151,20.0741,Li+2021
KIDS_157.4_-3.5,KIDS J102839.00-030048.13,157.162508004,-3.01336806656,20.6399,Li+2021
KIDS_355.5_-27.2,KIDS J234124.17-271145.14,355.350728196,-27.1958723758,19.1013,Li+2021
KIDS_39.3_-27.2,KIDS J023517.89-271129.01,38.8245353796,-27.1913915445,17.9813,Li+2021
KIDS_6.1_-35.1,KIDS J002342.53-350534.93,5.92719978566,-35.0930364688,19.3053,Li+2021
KIDS_194.5_-3.5,KIDS J125940.84-032637.29,194.920168982,-3.44369152716,18.418,Li+2021
KIDS_31.4_-27.2,KIDS J020518.38-273743.38,31.3265685636,-27.6287153872,18.6231,Li+2021
KIDS_26.8_-31.2,KIDS J014535.28-313235.48,26.3969899898,-31.5431875359,18.7319,Li+2021
KIDS_9.6_-34.1,KIDS J003617.62-343420.56,9.07341773425,-34.5723774384,20.9532,Li+2021
KIDS_32.5_-27.2,KIDS J021203.87-270653.29,33.0161297913,-27.1148019279,20.2011,Li+2021
KIDS_2.3_-28.2,KIDS J000654.69-283746.64,1.72787443948,-28.6296232713,19.1697,Li+2021
KIDS_6.7_-27.2,KIDS J002823.72-265957.95,7.09883142205,-26.9994291906,19.6856,Li+2021
KIDS_206.6_-3.5,KIDS J134604.91-032322.36,206.520460787,-3.38954315372,20.5645,Li+2021
KIDS_201.0_-1.5,KIDS J132205.60-014938.03,200.523344149,-1.82722920433,20.7019,Li+2021
KIDS_200.6_3.5,KIDS J132326.60+033701.12,200.860853342,3.61697823021,20.5082,Li+2021
KIDS_182.5_3.5,KIDS J120913.95+031014.33,182.308129251,3.17064724898,19.9832,Li+2021
KIDS_166.0_-1.5,KIDS J110322.38-010726.73,165.843249878,-1.12409267352,20.5388,Li+2021
KIDS_170.5_-3.5,KIDS J112307.43-032628.80,170.780965725,-3.44133324298,19.3007,Li+2021
KIDS_166.0_-1.5,KIDS J110256.69-011831.10,165.736223456,-1.30863818213,19.4852,Li+2021
KIDS_192.5_-3.5,KIDS J124914.12-033404.02,192.308826131,-3.56778347808,18.814,Li+2021
KIDS_25.9_-32.1,KIDS J014403.02-321237.07,26.0125750328,-32.2102972087,19.7753,Li+2021
KIDS_20.2_-27.2,KIDS J012246.67-273322.09,20.6944385309,-27.5561348692,20.8031,Li+2021
KIDS_26.9_-27.2,KIDS J014603.78-264457.39,26.5157619934,-26.7492749734,19.7145,Li+2021
KIDS_168.5_-3.5,KIDS J111500.11-025804.30,168.750469462,-2.96786048779,19.2168,Li+2021
KIDS_219.6_-3.5,KIDS J143738.88-031635.12,219.411985244,-3.27642213797,19.7014,Li+2021
