# re(psi_t) im(psi_t) re(psi_t+dt) im(psi_t+dt)
-0.8085617340046007 -0.5884113546690557 -0.8503782104641151 -0.5261719292853327
-0.8300535352352224 -0.5576837173914166 -0.8695071814659846 -0.4939202986100888
-0.8503782104641151 -0.5261719292853327 -0.8874135512775688 -0.4609741739066665
-0.8695071814659844 -0.4939202986100892 -0.9040721420170612 -0.4273798802338298
-0.8874135512775688 -0.4609741739066665 -0.9194595302863565 -0.39318465403114683
-0.9040721420170612 -0.4273798802338298 -0.9335540801063457 -0.35843657670052975
-0.9194595302863565 -0.39318465403114683 -0.9463359733389456 -0.3231845069996865
-0.9335540801063457 -0.35843657670052975 -0.9577872375530904 -0.2874780123425444
-0.9463359733389455 -0.32318450699968687 -0.9678917712955006 -0.2513672991032411
-0.9577872375530904 -0.2874780123425444 -0.976635366730699 -0.21490314202168667
-0.9678917712955006 -0.2513672991032411 -0.984005729618437 -0.17813681280995067
-0.976635366730699 -0.21490314202168667 -0.9899924966004454 -0.1411200080598672
-0.984005729618437 -0.17813681280995067 -0.9945872497721984 -0.10390477655322021
-0.9899924966004454 -0.1411200080598672 -0.9977835285192046 -0.0665434460767217
-0.9945872497721984 -0.10390477655322021 -0.9995768386011818 -0.029088549844685785
-0.9977835285192047 -0.06654344607672126 -0.999964658471342 0.008407247367149063
-0.9995768386011818 -0.029088549844685344 -0.9989464428219001 0.045891223272779696
-0.999964658471342 0.008407247367149063 -0.9965236233508247 0.08331067220796906
-0.9989464428219001 0.045891223272779696 -0.992699606748747 0.12061297923889858
-0.9965236233508247 0.08331067220796906 -0.9874797699088649 0.1577456941432482
-0.992699606748747 0.12061297923889902 -0.980871452366572 0.19465660515968014
-0.9874797699088649 0.15774569414324865 -0.9728839459794464 0.23129381240202182
-0.980871452366572 0.19465660515968014 -0.9635284818621059 0.26760580083493224
-0.9728839459794464 0.23129381240202182 -0.9528182145943048 0.3035415127084289
-0.9635284818621059 0.26760580083493224 -0.9407682037244736 0.3390504193494345
-0.9528182145943047 0.30354151270842933 -0.9273953925947103 0.37408259220939866
-0.9407682037244735 0.33905041934943486 -0.9127185845169985 0.4085887730680895
-0.9273953925947103 0.37408259220939866 -0.8967584163341472 0.4425204432948521
-0.9127185845169985 0.4085887730680895 -0.8795373294026319 0.47582989206993526
-0.8967584163341468 0.44252044329485285 -0.8610795380381353 0.5084702834699698
-0.8795373294026316 0.47582989206993564 -0.8414109954681566 0.5403957223232673
-0.8610795380381353 0.5084702834699698 -0.8205593573395608 0.5715613187423437
-0.8414109954681566 0.5403957223232673 -0.7985539428323829 0.6019232512429267
-0.8205593573395608 0.5715613187423437 -0.7754256934345628 0.6314388283606951
-0.7985539428323823 0.6019232512429273 -0.7512071294355769 0.6600665486791165
-0.7754256934345626 0.6314388283606954 -0.7259323042001399 0.6877661591839741
-0.7512071294355769 0.6600665486791165 -0.6996367562862716 0.7144987118625367
-0.7259323042001399 0.6877661591839741 -0.672357459475056 0.7402266184677828
-0.6996367562862716 0.7144987118625367 -0.6441327707823549 0.7649137033706784
-0.6723574594750553 0.7402266184677834 -0.6150023765255738 0.7885252544261956
-0.6441327707823542 0.764913703370679 -0.5850072365213228 0.8110280717815413
-0.6150023765255738 0.7885252544261956 -0.5541895264924167 0.8323905145579873
-0.5850072365213228 0.8110280717815413 -0.5225925787652196 0.852582545340636
-0.5541895264924167 0.8323905145579873 -0.4902608213407002 0.8715757724135877
-0.5225925787652188 0.8525825453406366 -0.4572397154248756 0.8893434896811123
-0.4902608213406994 0.8715757724135882 -0.42357569150648755 0.9058607142186932
-0.4572397154248756 0.8893434896811123 -0.38931608407176954 0.9211042214011522
-0.42357569150648755 0.9058607142186932 -0.35450906504813195 0.9350525775584491
